Report Submission Source,Report Number,Multiple Rows per Incident,Report Type,Date of Incident,Time of Incident,NRC Number,Federal DOT Agency Name,Federal DOT Report Number,Incident City,Incident County,Incident State,Incident Postal Code,Incident Non-US State,Incident Country,Incident Route,Mode of Transportation,Transportation Phase,Carrier/Reporter Name,Carrier/Reporter Street Name,Carrier/Reporter City,Carrier/Reporter State,Carrier/Reporter Postal Code,Carrier/Reporter Non-US State,Carrier/Reporter FED DOT ID,Carrier/Reporter HAZMAT Reg ID,Carrier/Reporter Country,Shipper Name,Shipper Street Name,Shipper City,Shipper State,Shipper Postal Code,Shipper Non-US State,Shipper Country,Shipper Waybill/Shipping Paper,Shipper HAZMAT Registration ID,Origin City,Origin State,Origin Postal Code,Origin Non-US State,Origin Country,Destination City,Destination State,Destination Postal Code,Destination Non-US State,Destination Country,Commodity Short Name,Commodity Long Name,Technical/Trade Name,Identification Number,Hazardous Class Code,Hazardous Class,Packing Group,Quantity Released,Unit of Measure,HAZMAT Waste Indicator,HAZMAT Waste EPA Number,HMIS Toxic by Inhalation Ind,TIH Hazard Zone,Material Shipment Approval Ind,Material Shipment Approval Nbr,Undeclared HAZMAT Shipment Ind,Packaging Type,What Failed Code,What Failed Description,How Failed Code,How Failed Description,Failure Cause Code,Failure Cause Description,Identification Markings,Cont1 Packaging Type,Cont1 Material of Construction,Cont1 Head Type,Cont1 Package Capacity,Cont1 Package Capacity UOM,Cont1 Package Amount,Cont1 Package Amount UOM,Cont1 Pkg Number in Shipment,Cont1 Pkg Shipment Nbr Failed,Cont1 Package Manufacturer,Cont1 Pkg Manufacturer Date,Cont1 Package Serial Number,Cont1 Package Last Test Date,Cont1 Test Material Of Const,Cont1 Pkg Dsign Pressure Rpted,Cont1 Dsign Pressure UOM Rpted,Cont1 Pkg Shell Thickness Rptd,Cont1 Shell Thickness UOM Rptd,Cont1 Head Thickness Reported,Cont1 Head Thickness UOM Rpted,Cont1 Pkg Srvc Pressure Rpted,Cont1 Srvc Pressure UOM Rpted,Cont1 Valve or Device Fail Ind,Cont1 Valve or Device Type,Cont1 Val Device Manufacturer,Cont1 Valve or Device Model,Cont2 Package Type,Cont2 Material of Construction,Cont2 Package Capacity,Cont2 Capacity UOM Reported,Cont2 Package Amount,Cont2 Package Amount UOM,Cont2 Pkg Number in Shipment,Cont2 Pkg Shipment Nbr Failed,RAM Package Category,RAM Package Certification,RAM Package Certification Nbr,RAM Nuclide(s) Present,RAM Transport Index,RAM UOM,RAM Activity Rpted,RAM UOM Rpted,RAM Activity,RAM Activity UOM,RAM Material Safety Index,Spillage (Result) Ind,Fire (Result) Ind,Explosion (Result) Ind,Water Sewer (Result) Ind,Gas Dispersion (Result) Ind,Environmental Damage (Result),No Release (Result) Ind,Fire/EMS Report Ind,Fire EMS/EMS Report Nbr,Police Report Ind,Police Report Nbr,In-House Cleanup Ind,Other Cleanup Ind,Damage More Than 500,Material Loss,Carrier Damage,Property Damage,Response Cost,Remediation Cleanup Cost,Damage Other (Old Form),Total Amount of Damages,HAZMAT Fatality Indicator,HAZMAT Fatalities Employees,HAZMAT Fatalities Responders,HAZMAT Fatality General Public,Total Hazmat Fatalities,Non_HAZMAT Fatality Indicator,Non-HAZMAT Fatalities,HAZMAT Injury Indicator,HAZMAT Hospitalized Employees,HAZMAT Hospitalized Responders,HAZMAT Hospitalized Gen Public,HAZMAT Hospitalized (Old Form),Total Hazmat Hosp Injuries,HAZMAT NonHosp Employees,HAZMAT NonHosp Responders,HAZMAT NonHosp General Public,HAZMAT NonHosp (Old Form),Total Hazmat NonHosp Injuries,Total Hazmat Injuries,Evacuation Indicator,Public Evacuated,Employees Evacuated,Total Evacuated,Total Evacuation Hours,Major Artery Closed,Major Artery Hours Closed,Material Involved in Accident,Estimated Speed,Weather Conditions,Vehicle Overturn,Vehicle Left Roadway/Track,Passenger Aircraft Indicator,Cargo Passenger Baggage Ind,Incident Occurrence,Shipphase Non-Transported Ind,Shipphase Air First Flight Ind,Shipphase Air SubFlight Ind,Shipphase Init Transport Ind,Shipphase Transfer Indicator,Contact Name,Contact Title,Contact Business Name,Contact Street,Contact City,Contact State,Contact Postal Code,Contact Non-US State,Contact Country,Preparer of Incident Report,Description of Events,Recommendations/Actions Taken,HMIS Serious Incident Ind,HMIS Serious Fatality,HMIS Serious Injury,HMIS Serious Flight Plan,HMIS Serious Evacuations,HMIS Serious Major Artery,HMIS Serious Bulk Release,HMIS Serious Marine Pollutant,HMIS Serious Radioactive,HMIS General Package Type,HMIS Container Code,HMIS Container Description,HMIS Bulk Incident Indicator,Undeclared Shipment
XML,X-2006100269,No,A hazardous material incident,07/20/2006,1218,,,,TAMPA,HILLSBOROUGH,FL,33634,,US,8411 Florida Mining Blvd,Highway,LOADING,FEDEX GROUND PACKAGE SYSTEM  INC.,1000 FED EX DR,CORAOPOLIS,,15108,PA,265752,062904001002M,UNITED STATES,R & R AUTOMATION DESIGN,HWY 63 N,LANCASTER,,63548,MO,UNITED STATES,31375200062906,,LANCASTER,MISSOURI,63548,,US,EATON PARK,FLORIDA,33840,,US,SODIUM HYDROXIDE  SOLUTI,SODIUM HYDROXIDE  SOLUTION,,UN1824,8,CORROSIVE MATERIAL,,0.1250,LGA,No,,No,,No,,No,Non-Bulk,134,Liquid Valve,308,Leaked,526,Loose Closure  Component  or Device,,Box,Fiberboard,,,,,,,,,,,,,,,,,,,,,No,,,,Bottle,Plastic,,,,,,,,FALSE,,,,,,,,,,Yes,No,No,No,No,No,No,No,,No,,Yes,No,No,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,,No,No,No,,,No,No,No,No,No,DENISE HANCHULAK,TSM MANAGER II - SAFETY,Fedex Ground Package System  Inc.,1000 Fedex Drive,MOON TOWNSHIP,PA,15108,,US,Carrier,The package was unloaded with leakage noted on the box.  Examination of the inner container revealed that the container(s) had loose cap(s) and leaked.  The leakage was contained.  The cap(s) were secured.  The carton was wet but otherwise undamaged.  The undamaged portion of the package was repacked for return to shipper.,,No,No,No,No,No,No,No,No,No,OHMIR.Ref_Container.descr_txt,BOX FBR,Fiberboard box or carton,No,No
Paper,I-1994070471,No,A hazardous material incident,06/10/1994,0917,,,,MURFREESBORO,RUTHERFORD,TN,,,US,2298 OLD FORT PKWY,Air,UNLOADING,FEDERAL EXPRESS CORPORATION,3610 HACKS CROSS RD,MEMPHIS,,38125,TN,86876,,UNITED STATES,FLAGSHIP AIRLINES,5700 NW 36TH ST BLDG 1040,MIAMI,,N/A,FL,UNITED STATES,2250848363,,MIAMI,FLORIDA,33142,,US,SMYRNA,TENNESSEE,,,US,FUEL  AVIATION  TURBINE ,FUEL  AVIATION  TURBINE ENGINE,JP - 8,UN1863,3,FLAMMABLE - COMBUSTIBLE LIQUID,,0.046875,LGA,No,,No,,No,,Yes,Non-Bulk,106,Bottom Outlet Valve,,,508,Defective Component or Device,,,,,1.50,LGA,,,1,1,NOT REPORTED BY CARRIER,,,,,,,,,,,,,No,,,,,,1.50,LGA,,,1,1,,FALSE,,,,,,,,,,Yes,No,No,No,No,No,No,No,,No,,No,No,No,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,,No,No,No,,,No,No,No,No,No,GARY RICHARDSON,DANGEROUS GOOD SPECIALIST,,,,,,,US,,PACKAGE INSPECTED DUE TO STRONG ODOR. INSPECTION REVEALED AIRCRAFT PART THAT HAD SOME FUEL IN IT. THE PACKAGE WAS NOT MARKED OR LABELED AS CONTAINING DANGEROUS GOODS  AND THERE WAS NO SHIPPER'S DECLARATION WITH THE SHIPMENT. LOCAL FAA/CAFSO WAS NOTIFIED. PACKAGE HELD AT LOCATION PENDING FAA INVESTIGATION.,,No,No,No,No,No,No,No,No,No,OHMIR.Ref_Container.descr_txt,BOX FBR,Fiberboard box or carton,No,Yes
Paper,I-2003090773,No,A hazardous material incident,08/20/2003,1211,,,,AURORA,ADAMS,CO,,,US,15950 SMITH RD,Highway,UNLOADING,YRC INC.,10990 ROE AVE,OVERLAND PARK,,66211,KS,708381,,UNITED STATES,PROTECTIVE COATINGS  INC.,1602 BIRCHWOOD AVE,FORT WAYNE,,46803,IN,UNITED STATES,377555237,,FORT WAYNE,INDIANA,46803,,US,BOND,COLORADO,80423,,US,ADHESIVES  CONTAINING A ,ADHESIVES  CONTAINING A FLAMMABLE LIQUID,,UN1133,3,FLAMMABLE - COMBUSTIBLE LIQUID,,0.50,LGA,No,,No,,No,,No,Non-Bulk,109,Closure (e.g.  Cap  Top  or Plug),,,526,Loose Closure  Component  or Device,,,,,2,LGA,,,1,1,NOT REPORTED BY CARRIER,,,,,,,,,,,,,No,,,,,,1,LGA,,,2,1,,FALSE,,,,,,,,,,Yes,No,No,No,No,No,No,No,,No,,No,No,No,20,0,0,0,65,300,385,No,0,0,0,0,No,0,No,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,,No,No,No,,,No,No,No,No,No,MICHAEL N WINDSOR,MANAGER HAZARDOUS MATERIA,,,,,,,US,,WHILE UNLOADING ONE BOX WAS DISCOVERED LEAKING. THE BOX WAS RECOUPED INTO A DOT APPROVED SALVAGE DRUM WITH A CHEMICAL LINER  PROPERLY MARKED AND LABELED. THE SHIPPER WAS NOTIFIED FOR DISPOSITION,,No,No,No,No,No,No,No,No,No,OHMIR.Ref_Container.descr_txt,BOX FBR,Fiberboard box or carton,No,No
Paper,I-1995060699,No,A hazardous material incident,05/22/1995,1200,,,,NEW TRIPOLI,LEHIGH,PA,,,US,MOSSERVILLE RD,Highway,IN TRANSIT,MAURER & SCOTT SALES  INC.,122 THOMAS ST,COOPERSBURG,,18036,PA,371236,,UNITED STATES,MAURER & SCOTT SALES  INC.,122 THOMAS ST,COOPERSBURG,,18036,PA,UNITED STATES,,,NEW TRIPOLI,PENNSYLVANIA,18066,,US,THOMASVILLE,PENNSYLVANIA,17364,,US,EXPLOSIVE  BLASTING  TYP,EXPLOSIVE  BLASTING  TYPE A,40% EXTRA GELATIN DY,UN0081,1.1D,EXPLOSIVE MASS EXPLOSION HAZARD,,0,,No,,No,,No,,No,Non-Bulk,; ,; ,; ,; ,531; 537,Rollover Accident; Vehicular Crash or Accident Damage,,,,,55,SLB,,,200,1,MAC MILLAN BLOEDEL CONTAINERS,,,,,,,,,,,,,No,,,,,,6.8750,LGA,,,200,1,,FALSE,,,,,,,,,,No,No,No,No,No,No,Yes,No,,No,,No,No,No,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,0,0,0,0,0,0,0,0,0,0,Yes,0,0,1,0,No,0,Yes,30,,No,No,No,,,No,No,No,No,No,JUDD A WAGNER,SAFETY & COMPLIANCE,,,,,,,US,,THE ACCIDENT OCCURRED AT APPROX 1200 HRS 22 MAY 95 - ONE OF OUR TRUCKS LEFT OUR NEW TRIPOLI MAGAZINE SITE LOADED WITH 200 CO(11 00#) OF 40% EXTRA GEL DYNAMITE.A SHORT TIME LATER A LOCAL PASSERBY INFORMED US THAT OUR TRUCK WAS OVERTURNED ON MOSSERVILLE RD APPROX 2 MILES FROM OUR SITE. THERE WERE NO OTHER VEHICLES INVOLVED  OUR DRIVER WAS NOT INJURED AND THE ONLY PROPERTY DAMAGED WAS TO OUR VEHICLE.  THERE WAS NO LOSS OF PRODUCT OR DAMAGE TO PACKAGING.  THE LOCAL FIRE CO. WAS NOTIFIED WHO INTURN REPORTED THE ACCIDENT TO THE PA STATE POLICE WHO INVESTIGATED THE ACCIDENT AND THE LOCAL EMERGENCY PLANNING COMMITTEE  WHO DID NOT RESPOND. OUR PERSONNEL ATTENDED THE SCENE AND DIRECTED TRAFFIC AROUND THE ACCIDENT UNTIL THE FIRE COMPANY ARRIVED AND CLOSED THE ROAD.  THEY CRIBBED THE OVERTURNED TRUCK SO OUR PERSONNEL COULD THEN TRANSFER THE LOAD FROM THE OVERTURNED VEHICLE TO ANOTHER TRUCK AND WE COMPLETED OUR DELIVERY.  THE FIRE CO. DECIDED TO EVACUATE ONE PERSON FROM A FARM HOUSE LOCATED A FEW HUNDRED YARDS DOWN THE ROAD WHILE WE TRANSFERED THE LOAD.  THE ROAD WAS CLOSED TO TRAFFIC APPROX. 2.5 HRS. FROM THE TIME THE FIRE CO CLOSED THE ROAD UNTIL THE WRECKER TOWED OUR VEHICLE BACK TO OUR SITE.  ALTHOUGH A TIRE CHECK WAS PREFORMED BEFORE THE SUBJECT VEHICLE LEFT THE MAGAZINE IT APPEARS A FLAT ON THE OUTSIDE RIGHT REAR TIRE CAUSED THE DRIVER TO LOSE CONTROL WHEN IT ENTERED A CURVE TO THE LEFT AND SUBSEQUENTLY OVERTURNED ONTO A BANK ON THE OPPOSITE SIDE OF THE ROAD. A MEMO WAS ISSUED TO ALL EMPLOYEES EMPHASIZING THE IMPORTANCE OF ROUTES  SPEED LIMITS  TIRE CHECKS AND LOADING PROCEDURES.,,No,No,No,No,Yes,No,No,No,No,OHMIR.Ref_Container.descr_txt,4G,Fiberboard box,No,No
Paper,I-2000020223,No,A hazardous material incident,01/18/2000,1845,,,,TRACY,SAN JOAQUIN,CA,,,US,1535 S PESCADERO,Highway,UNLOADING,YRC INC.,10990 ROE AVE,OVERLAND PARK,,66211,KS,708381,,UNITED STATES,MEDIVATORS INC.,14605 28TH AVE N,MINNEAPOLIS,,55447,MN,UNITED STATES,019710084,,MINNEAPOLIS,MINNESOTA,55447,,US,MADERA,CALIFORNIA,93637,,US,HYDROGEN PEROXIDE AND PE,HYDROGEN PEROXIDE AND PEROXYACETIC ACID MIXTURES  STABILIZED WITH ACIDS  WATER  AND NOT MORE THAN 5 PERCENT PEROXYACETIC ACID,STABILIZED ,UN3149,5.1,OXIDIZER,,0.396258,LGA,No,,No,,No,,No,Non-Bulk,109; ,Closure (e.g.  Cap  Top  or Plug); ,; ,; ,517; 517,Improper Preparation for Transportation; Improper Preparation for Transportation,,,,,0.528344,LGA,,,5,1,NOT REPORTED BY CARRIER,,,,,,,,,,,,,No,,,,,,0.264172,LGA,,,10,2,,FALSE,,,,,,,,,,Yes,No,No,No,No,No,No,No,,No,,No,No,No,58,0,0,0,50,300,408,No,0,0,0,0,No,0,No,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,,No,No,No,,,No,No,No,No,No,MICHAEL N WINDSOR,HAZMAT MANAGER,,,,,,,US,,WHILE UNLOADING A CARTON WAS DISCOVERED ON ITS SIDE. THE PRODUCT LEAKED THROUGH THE VENTED CAPS. THE PRODUCT WAS PROPERLY DISPOSED OF PER MSDS AND THE SHIPPER INSTRUCTIONS.,,No,No,No,No,No,No,No,No,No,OHMIR.Ref_Container.descr_txt,BOX FBR,Fiberboard box or carton,No,No
Paper,I-1997050367,No,A hazardous material incident,04/14/1997,2015,,,,OAKLAND,ALAMEDA,CA,,,US,ONE AIRPORT DRIVE TERM. II,Air,IN TRANSIT,SOUTHWEST AIRLINES CO.,2702 LOVE FIELD DR,DALLAS,,75235,TX,0,,UNITED STATES,INDIVIDUAL - NOT A COMPANY,,MENLO PARK,,94025,CA,UNITED STATES,,,MENLO PARK,CALIFORNIA,94025,,US,,,,,,TETRAHYDROFURAN,TETRAHYDROFURAN,TETRAHYCLORFUROM,UN2056,3,FLAMMABLE - COMBUSTIBLE LIQUID,,0.031250,LGA,No,,No,,No,,Yes,Non-Bulk,103; 109; 103,Basic Material; Closure (e.g.  Cap  Top  or Plug); Basic Material,303; 303; ,Burst or Ruptured; Burst or Ruptured; ,524; 524; ,Incompatible Product; Incompatible Product; ,,,,,0.031250,LGA,,,1,1,NOT REPORTED BY CARRIER,,,,,,,,,,,,,No,,,,,,0.007813,LGA,,,4,4,,FALSE,,,,,,,,,,Yes,No,No,No,No,No,No,No,,No,,No,No,No,10,0,0,0,15,0,25,No,0,0,0,0,No,0,No,0,0,0,0,0,0,0,0,0,0,0,Yes,0,0,75,0,No,0,No,0,,No,No,No,,,No,No,No,No,No,ROBERT L MC NEIL,MGR-TARIFFS & PROCEDURES,,,,,,,US,,THIS WAS AN UNDECLARED HAZARDOUS MATERIAL SHIPMENT CARRY ON BOARD THE AIRFACT BY THE PASSENGER.  TWENTY MINUTES INTO THE FLIGHT FROM LAX THE FLIGHT ATTENDENTS NOTICED A VERY FOUL ODOR EMITING FROM THE OVERHEAD BIN IN ROW 16.  THE SUBSTANCE HAD LEAKED FROM THE BOX AND GOTTEN ON A TENNIS RACKET THAT WAS IN THE BIN AND THE SUBSTANCE HAD DRIPPED ON TO A CUSTOMER WHO WAS SEATED BELOW THE OVERHEAD BIN.  THE FLIGHT ATTENDENT CLEANED UP THE SPILL AND PLACED THE LEAKING CONTAINER IN A PLASTIC BAG AND PLACED IT IN THE REAR LAV.  THE PASSENGER WHO CARRIED ON THE BOX WAS DETAINED AND QUESTIONED UPON ARRIVAL AT OAK.,,Yes,No,No,No,Yes,No,No,No,No,OHMIR.Ref_Container.descr_txt,BOX FBR,Fiberboard box or carton,No,Yes
Paper,I-2005050562,No,A hazardous material incident,04/26/2005,2105,,,,HODGKINS,COOK,IL,60525,,US,1 UPS WAY,Highway,IN TRANSIT,UNITED PARCEL SERVICE OF AMERICA  INC.,55 GLENLAKE PKWY,ATLANTA,,30328,GA,0,,UNITED STATES,EASTMAN KODAK COMPANY,1600 LEXINGTON AVE,ROCHESTER,,14606,NY,UNITED STATES,,,ROCHESTER,NEW YORK,14650,,US,CROWN POINT,INDIANA,46307,,US,CORROSIVE LIQUID  ACIDIC,CORROSIVE LIQUID  ACIDIC  ORGANIC  N.O.S.,ETHEPHON,UN3265,8,CORROSIVE MATERIAL,III,2.250181,LGA,No,,No,,No,,No,Non-Bulk,103,Basic Material,304,Cracked,511,Dropped,,Box,Fiberboard,,8.1250,LGA,2.250182,LGA,1,1,,,,,,,,,,,,,,No,,,,Bottle,Plastic,8.517609,LLT,8.517609,LLT,1,1,,FALSE,,,,,,,0,,,Yes,No,No,No,No,No,No,No,,No,,Yes,No,No,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,,No,No,No,,,No,No,No,No,No,PAT FRENCH,HAZMAT RESPONDER,UPS,1 UPS WAY,HODGKINS,IL,60525,,US,Carrier,PAT FRENCH & EDDIE VALLEJO RESPONDED TO A SPILL DONNED PROPER PPE & AFTER USING DECISION TREE & RESPONSE SHEET CLEANED UP THE SPILL WHICH WAS THEN PROCESSED THROUGH THE DMP,NONE,No,No,No,No,No,No,No,No,No,OHMIR.Ref_Container.descr_txt,BOX FBR,Fiberboard box or carton,No,No
XML,X-2007070452,No,A hazardous material incident,07/26/2007,0327,,,,NASHVILLE,DAVIDSON,TN,37207,,US,3301 KNIGHT ROAD,Highway,UNLOADING,FEDEX GROUND PACKAGE SYSTEM  INC.,1000 FED EX DR,CORAOPOLIS,,15108,PA,265752,062904001002M,UNITED STATES,NORMED  INC.,4310 S 131ST PL,TUKWILA,,98168,WA,UNITED STATES,98117363154297,,TUKWILA,WASHINGTON,98168,,US,AUSTELL,GEORGIA,30168,,US,ISOPROPYL ALCOHOL,ISOPROPYL ALCOHOL,NONE,UN1219,3,FLAMMABLE - COMBUSTIBLE LIQUID,,0.6250,LGA,No,,No,,No,,No,Non-Bulk,103,Basic Material,308,Leaked,511,Dropped,,Box,Fiberboard,,,,,,,,,,,,,,,,,,,,,No,,,,Bottle,Plastic,,,,,,,,FALSE,,,,,,,,,,Yes,No,No,No,No,No,No,No,,No,,Yes,No,No,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,,No,No,No,,,No,No,No,No,No,SCOTT KERR,TSM MANAGER II - SAFETY,Fedex Ground Package System  Inc.,1000 Fedex Drive,MOON TOWNSHIP,PA,15108,,US,Carrier,The package was unloaded with leakage noted on the box.  Examination of the inner container revealed that the container(s) had loose cap(s) and leaked.  The leakage was contained.  The cap(s) were secured.  The carton was wet but otherwise undamaged.  The undamaged portion of the package was repacked for return to shipper.,,No,No,No,No,No,No,No,No,No,OHMIR.Ref_Container.descr_txt,BOX FBR,Fiberboard box or carton,No,No
Paper,I-1997031125,No,A hazardous material incident,03/12/1997,1850,,,,CHELMSFORD,MIDDLESEX,MA,,,US,87 BRICK KILN ROAD,Highway,UNLOADING,UNITED PARCEL SERVICE  INC.,55 GLENLAKE PKWY,ATLANTA,,30328,GA,21800,,UNITED STATES,UPACO ADHESIVES  INC.,3 E SPIT BROOK RD,NASHUA,,03060,NH,UNITED STATES,,,NASHUA,NEW HAMPSHIRE,03060,,US,MARLBORO,MASSACHUSETTS,01752,,US,ADHESIVES  CONTAINING A ,ADHESIVES  CONTAINING A FLAMMABLE LIQUID,,UN1133,3,FLAMMABLE - COMBUSTIBLE LIQUID,,0.1250,LGA,No,,No,,No,,No,Non-Bulk,103; ; ,Basic Material; ; ,303; ; ,Burst or Ruptured; ; ,526; 524; 538,Loose Closure  Component  or Device; Incompatible Product; Water Damage,,,,,0.50,LGA,,,1,1,ABBOTT BOX CO,,,,,,,,,,,,,No,,,,,,0.25,LGA,,,2,1,,FALSE,,,,,,,,,,Yes,No,No,No,No,No,No,No,,No,,No,No,No,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,,No,No,No,,,No,No,No,No,No,S SERGI,DESIGNATED RESPONDER,,,,,,,US,,AT 18:50 I RESPONDED TO A FLAMMABLE LIQUID SPILL AT MARLBORO CENTER. USING THE DECISION TREE  FLAMMABLE LIQUID RESPONSE SHEET AND WEARING PROPER PPE. I CLEANED UP THE HAZ WASTE AT SPILL SITE AND BROUGHT BACK THE HAZ MATERIAL TO PSC CAGE IN DMP TUB.  THEN PROCESSED THE HAZ WASTE THROUGH DMP PROGRAM.,,No,No,No,No,No,No,No,No,No,OHMIR.Ref_Container.descr_txt,BOX FBR,Fiberboard box or carton,No,No
Paper,I-2008100016,No,A hazardous material incident,09/25/2008,2000,,,,SHREWSBURY,WORCESTER,MA,01545,,US,315 HARTFORD TPKE,Highway,IN TRANSIT STORAGE,UNITED PARCEL SERVICE  INC.,55 GLENLAKE PKWY,ATLANTA,,30328,GA,21800,,UNITED STATES,FISHER SCIENTIFIC COMPANY LLC,2775 HORIZON RIDGE CT,SUWANEE,,30024,GA,UNITED STATES,1ZX307180371396435,,SUWANEE,GEORGIA,30024,,US,CAMBRIDGE,MASSACHUSETTS,02139,,US,SULFURIC ACID,SULFURIC ACID,LIQUIDATE,UN1830,8,CORROSIVE MATERIAL,II,0.1250,LGA,No,,No,,No,,No,Non-Bulk,109,Closure (e.g.  Cap  Top  or Plug),308,Leaked,515,Human Error,N/A,Box,Fiberboard,,8.1250,LGA,4.226880,LGA,1,1,,,,,,,,,,,,,,No,,,,Bottle,Glass  procelain  or stoneware,4,LLT,4,LLT,4,1,,FALSE,,,,,,,0,,,Yes,No,No,No,No,No,No,No,,No,,Yes,No,No,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,,No,No,No,,,No,No,No,No,No,BRAD COOK,DIRECTOR DANGEROUS GOODS,UNITED PARCEL SERVICE,55 GLENLAKE PKWY,ATLANTA,GA,30328,,US,Carrier,PACKAGE WAS NOT LOADED CORRECTLY IN FEEDER CAUSING IT TO LEAK. CLEANED UP SPILL. BROUGHT TO DMP FOR DISPOSAL.,NO COMMENT PROVIDED,No,No,No,No,No,No,No,No,No,OHMIR.Ref_Container.descr_txt,BOX FBR,Fiberboard box or carton,No,No
