"textbox2,textbox17,SiteName,LocAddr,SiteID,OperAddr,LocAddrCounty,FacContact,OperCompanyName,OpContact,DispAreaNumber,DispAreaTypeDescr,DispAreaStatusTypeDescr"
"All Solid Waste Disposal Areas Report,484993 - A-WASTE,A-WASTE,""9672 COLONIAL AVE, GRANT, MI"",,""9672 COLONIAL AVE, GRANT, MI"",NEWAYGO,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,477740 - ACTION DISPOSAL,ACTION DISPOSAL/STEVENS AUTO & TRUCK SALES,""2510 W TEMPERANCE RE, TEMPERANCE, MI"",,""2510 W TEMPERANCE RD, TEMPERANCE, MI"",MONROE,CARL STEVENS JR - (734) 847-4940,ACTION DISPOSAL,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,470373 - ADRIAN LANDFILL INC,ADRIAN LANDFILL INC,""1970 N OGDEN HWY, ADRIAN, MI"",MIK171376312,""1970 N OGDEN HWY, ADRIAN, MI"",LENAWEE,JOHN BOLYARD - (517) 265-2800,,Ralph Dach - (734) 397-4523,1),Type II MSW Landfill,Active - Closing"
"All Solid Waste Disposal Areas Report,""475946 - ADVANCED DISPOSAL SERVICES ARBOR HILLS LANDFILL, INC."",""ADVANCED DISPOSAL SERVICES ARBOR HILLS LANDFILL, INC."",""10690 W  6 MILE RD, SITE B, NORTHVILLE, MI"",MIK114185416,""10690 W 6 MILE RD, SITE B, NORTHVILLE, MI"",WASHTENAW,THOMAS FLANNAGAN - (248) 412-0684,ONYX  ARBOR HILLS LANDFILL INC,THOMAS FLANNAGAN - (248) 412-0684,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,475092 - ALBERT TOWNSHIP REFUSE TRANSFER STATION,ALBERT TOWNSHIP REFUSE TRANSFER STATION,""SECTION 23 SW 1/4 OF NW 1/4, T29, R1E, LEWISTON, MI"",,""PO BOX 153, LEWISTON, MI"",MONTMORENCY,(no contact) - (no phone),ALBERT TOWNSHIP REFUSE TRANSFER STATON,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,466719 - ALCONA COUNTY LANDFILL,ALCONA COUNTY LANDFILL,""301 N LAKE ST, LINCOLN, MI"",,""301 N LAKE ST, LINCOLN, MI"",ALCONA,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,479371 - ALL WASTE,ALL WASTE,""4751 22 MILE RD, SHELBY TOWNSHIP, MI"",,""4751 22 MILE RD, SHELBY TOWNSHIP, MI"",MACOMB,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,470376 - ALLIED WASTE SYSTEMS INC,SUNSET WASTE SERVICES - HAMILTON,""3310 LINCOLN RD, HAMILTON, MI"",,""2471 WILSHERE, JENISON, MI"",ALLEGAN,DEBBIE NURMI - (616) 837-7316,SUNSET WASTE SERVICES - HAMILTON,BRENT GOODSELL - (616) 379-0539,1),Solid Waste Transfer Facility,Active - Closing"
"All Solid Waste Disposal Areas Report,470393 - ALLIED WASTE SYSTEMS OF MICHIGAN LLC,VIENNA JUNCTION INDUSTRIAL PARK SANITARY LANDFILL,""6233 HAGMAN RD, ERIE, MI"",MID005721788,""6196 HAGMAN ROAD, TOLEDO, OH"",MONROE,JOHN STARK - (419) 726-9465,,DAVID VOSSMER - (734) 848-1211,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,481183 - AMERICAN WASTE INC,AMERICAN WASTE INC,""3850 SUNDOWNER DR, SITE 478910, TRAVERSE CITY, MI"",MIK848457347,""PO BOX 1030, KALKASKA, MI"",GRAND TRAVERSE,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility,Active - Closing"
"All Solid Waste Disposal Areas Report,488386 - AMERICAN WASTE INC,AMERICAN WASTE INC,""280 HUGHES DRIVE, TRAVERSE CITY, MI"",,""P.O. BOX1030, KALKASKA, MI"",GRAND TRAVERSE,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,488386 - AMERICAN WASTE INC,AMERICAN WASTE INC,""280 HUGHES DRIVE, TRAVERSE CITY, MI"",,""P.O. BOX1030, KALKASKA, MI"",GRAND TRAVERSE,(no contact) - (no phone),,(no contact) - (no phone),2),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,395927 - AMERICAN WASTE OIL CORPORATION,AMERICAN WASTE TECHNOLOGIES INC,""44141 YOST RD, BELLEVILLE, MI"",MID050598390,""44141 YOST RD, BELLEVILLE, MI"",WAYNE,JAMES DOWLING JR - (734) 397-2300,,TIM DOWLING - (734) 397-2300,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,486189 - AMERICAN WASTE TRANSFER STATION,AMERICAN WASTE TRANSFER STATION,""254 LITTLE LEAGUE DR, GAYLORD, MI"",,""254 LITTLE LEAGUE DRIVE, GAYLORD, MI"",OTSEGO,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,""486767 - AMERICAN WASTE, INC"",AMERICAN WASTE TRANSFER STATION AND PROCESSING/RECYCLING PLANT,""11500 US HIGHWAY 31 N, HAYES TOWNSHIP, CHARLEVOIX, MI"",,""PO BOX 1030, KALKASKA, MI"",CHARLEVOIX,(no contact) - (no phone),AMERICAN WASTE,EDDIE ASCIONE - (231) 999-9999,1),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,""486767 - AMERICAN WASTE, INC"",AMERICAN WASTE TRANSFER STATION AND PROCESSING/RECYCLING PLANT,""11500 US HIGHWAY 31 N, HAYES TOWNSHIP, CHARLEVOIX, MI"",,""PO BOX 1030, KALKASKA, MI"",CHARLEVOIX,(no contact) - (no phone),AMERICAN WASTE,EDDIE ASCIONE - (231) 999-9999,2),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,399487 - ANN ARBOR LANDFILL,ANN ARBOR LANDFILL,""2800 E ELLSWORTH RD, ANN ARBOR, MI"",MID981089535,""100 N 5TH AVE, PO BOX 8647, ANN ARBOR, MI"",WASHTENAW,(no contact) - (no phone),,TOM MCMURTRIE - (734) 794-6434,1),Type II MSW Landfill,Active - Closing"
