"Site Number","Name","Alias","Address","Town","County","Acres","IC_Controls","Status","Substatus","Status Date","Program","Latitude","Longitude"
"REM00914","INMONT SUMMER ST","","30 SUMMER STREET","WINTHROP","KENNEBEC",4,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",06/28/2000,"VRAP",44.30836,-69.97502
"REM00769","AMERICAN HOIST AND DERRICK","SHIPYARD BREWING CO","143 FORE ST","PORTLAND","CUMBERLAND",0,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",03/09/2009,"UNCONTROLLED SITES",43.66158,-70.24938
"REM00769","AMERICAN HOIST AND DERRICK","SHIPYARD BREWING CO","143 FORE ST","PORTLAND","CUMBERLAND",0,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",03/09/2009,"VRAP",43.66158,-70.24938
"REM00769","AMERICAN HOIST AND DERRICK","SHIPYARD BREWING CO","143 FORE ST","PORTLAND","CUMBERLAND",0,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",03/09/2009,"RCRA",43.66158,-70.24938
"REM00309","SACO MUNICIPAL LANDFILL","SACO LANDFILL, SACO MUNICIPAL LANDFILL AREA 1 AND 2 AND 3 AND 4","FOSS ROAD","SACO","YORK",90,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/2004,"LANDFILL CLOSURE",43.52837,-70.483
"REM00309","SACO MUNICIPAL LANDFILL","SACO LANDFILL, SACO MUNICIPAL LANDFILL AREA 1 AND 2 AND 3 AND 4","FOSS ROAD","SACO","YORK",90,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/2004,"UNCONTROLLED SITES",43.52837,-70.483
"REM00309","SACO MUNICIPAL LANDFILL","SACO LANDFILL, SACO MUNICIPAL LANDFILL AREA 1 AND 2 AND 3 AND 4","FOSS ROAD","SACO","YORK",90,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/2004,"SUPERFUND",43.52837,-70.483
"REM00402","WINTHROP LANDFILL","WINTHROP LANDFILL SUPERFUND SITE, WINTHROP MUNICIPAL LANDFILL","294 ANNABESSACOOK ROAD","WINTHROP","KENNEBEC",14,"TRUE","INVESTIGATION STAGE","ONGOING",02/14/2007,"UNCONTROLLED SITES",44.27563,-69.98811
"REM00402","WINTHROP LANDFILL","WINTHROP LANDFILL SUPERFUND SITE, WINTHROP MUNICIPAL LANDFILL","294 ANNABESSACOOK ROAD","WINTHROP","KENNEBEC",14,"TRUE","INVESTIGATION STAGE","ONGOING",02/14/2007,"LANDFILL CLOSURE",44.27563,-69.98811
"REM00402","WINTHROP LANDFILL","WINTHROP LANDFILL SUPERFUND SITE, WINTHROP MUNICIPAL LANDFILL","294 ANNABESSACOOK ROAD","WINTHROP","KENNEBEC",14,"TRUE","INVESTIGATION STAGE","ONGOING",02/14/2007,"SUPERFUND",44.27563,-69.98811
"REM00402","WINTHROP LANDFILL","WINTHROP LANDFILL SUPERFUND SITE, WINTHROP MUNICIPAL LANDFILL","294 ANNABESSACOOK ROAD","WINTHROP","KENNEBEC",14,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",02/14/2007,"UNCONTROLLED SITES",44.27563,-69.98811
"REM00402","WINTHROP LANDFILL","WINTHROP LANDFILL SUPERFUND SITE, WINTHROP MUNICIPAL LANDFILL","294 ANNABESSACOOK ROAD","WINTHROP","KENNEBEC",14,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",02/14/2007,"LANDFILL CLOSURE",44.27563,-69.98811
"REM00402","WINTHROP LANDFILL","WINTHROP LANDFILL SUPERFUND SITE, WINTHROP MUNICIPAL LANDFILL","294 ANNABESSACOOK ROAD","WINTHROP","KENNEBEC",14,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",02/14/2007,"SUPERFUND",44.27563,-69.98811
"REM01486","WYMAN AUTO BODY","WYMANS AUTOBODY","201 NEW PORTLAND ROAD","GORHAM","CUMBERLAND",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",09/11/2014,"RCRA",43.67779,-70.41409
"REM01486","WYMAN AUTO BODY","WYMANS AUTOBODY","201 NEW PORTLAND ROAD","GORHAM","CUMBERLAND",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",09/11/2014,"UNCONTROLLED SITES",43.67779,-70.41409
