"PROGRAM_INT_ID","APPROVE_ID","APPROVE_SENT_DATE","CLOSURE_SENT_DATE","APPROVE_EXPIRATION_DATE","TMSP_ADDED","TMSP_LAST_UPDT","STAFF_ID_LAST_UPDT"
212539,149,06/14/1993 00:00:00,,11/01/1993 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:50,"TANKS   "
212540,150,05/28/1993 00:00:00,,11/01/1993 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:50,"TANKS   "
212541,151,06/11/1993 00:00:00,,11/01/1993 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:50,"TANKS   "
212542,152,06/17/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:50,"TANKS   "
212543,153,07/11/1990 00:00:00,07/11/1990 00:00:00,10/31/1991 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:50,"TANKS   "
212544,154,09/01/1992 00:00:00,10/28/1992 00:00:00,10/31/1993 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:51,"TANKS   "
212545,155,06/16/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:51,"TANKS   "
212546,156,08/21/1992 00:00:00,,10/31/1993 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:51,"TANKS   "
212547,157,06/14/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:51,"TANKS   "
212548,158,06/14/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:51,"TANKS   "
212549,159,06/14/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:52,"TANKS   "
212550,160,06/14/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:52,"TANKS   "
212551,161,06/18/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:52,"TANKS   "
212552,162,06/23/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:52,"TANKS   "
212553,163,06/23/1993 00:00:00,,11/01/2002 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:52,"TANKS   "
212554,164,06/23/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:52,"TANKS   "
212555,165,06/25/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:53,"TANKS   "
212556,166,11/17/1992 00:00:00,,11/01/1993 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:53,"TANKS   "
212557,167,01/01/1992 00:00:00,,11/01/1993 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:53,"TANKS   "
212558,168,10/29/1992 00:00:00,,10/30/1993 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:53,"TANKS   "
212559,169,07/01/1993 00:00:00,,11/01/1993 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:53,"TANKS   "
212560,170,07/01/1993 00:00:00,,11/01/1993 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:54,"TANKS   "
212562,171,10/16/1991 00:00:00,10/22/1991 00:00:00,10/30/1992 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:54,"TANKS   "
212563,172,07/09/1993 00:00:00,07/28/1993 00:00:00,10/30/1994 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:54,"TANKS   "
212564,173,04/24/1992 00:00:00,09/17/1992 00:00:00,10/30/1993 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:54,"TANKS   "
212565,174,09/16/2002 00:00:00,09/16/2002 00:00:00,11/01/2003 00:00:00,11/19/1999 09:40:27,12/05/2007 13:48:01,"ANESS   "
212566,175,07/18/1991 00:00:00,08/05/1991 00:00:00,10/30/1992 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:55,"TANKS   "
212567,176,06/16/1992 00:00:00,09/14/1992 00:00:00,10/30/1993 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:55,"TANKS   "
212568,177,07/15/1993 00:00:00,,11/01/2002 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:55,"TANKS   "
212569,178,07/15/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:55,"TANKS   "
212570,179,10/11/1991 00:00:00,10/25/1991 00:00:00,10/30/1992 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:56,"TANKS   "
212571,180,12/17/1991 00:00:00,,10/30/1992 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:56,"TANKS   "
212573,181,07/13/1992 00:00:00,,11/01/1993 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:56,"TANKS   "
212574,182,09/24/1992 00:00:00,08/05/1997 00:00:00,10/30/1993 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:56,"TANKS   "
212576,183,09/25/1991 00:00:00,10/26/1991 00:00:00,10/30/1992 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:57,"TANKS   "
212577,184,07/23/1993 00:00:00,,11/01/1998 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:57,"TANKS   "
212578,185,07/23/1993 00:00:00,11/01/1994 00:00:00,11/01/1994 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:57,"TANKS   "
212579,186,07/23/1993 00:00:00,03/21/1995 00:00:00,11/01/1994 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:57,"TANKS   "
212580,187,07/23/1993 00:00:00,11/01/1994 00:00:00,11/01/1994 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:58,"TANKS   "
212581,188,07/26/1993 00:00:00,07/27/1993 00:00:00,10/30/1994 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:58,"TANKS   "
212582,189,07/14/1992 00:00:00,,11/01/1993 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:58,"TANKS   "
212583,190,07/27/1993 00:00:00,11/01/1994 00:00:00,11/01/1994 00:00:00,11/19/1999 09:40:27,05/04/2002 08:57:58,"TANKS   "
212584,191,07/27/1993 00:00:00,03/10/1994 00:00:00,11/01/1995 00:00:00,11/19/1999 09:40:28,05/04/2002 08:57:58,"TANKS   "
212585,192,07/28/1993 00:00:00,,11/01/1995 00:00:00,11/19/1999 09:40:28,05/04/2002 08:57:59,"TANKS   "
212586,193,05/07/1993 00:00:00,,10/12/1993 00:00:00,11/19/1999 09:40:28,05/04/2002 08:57:59,"TANKS   "
212587,194,05/25/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:28,05/04/2002 08:57:59,"TANKS   "
212588,195,06/15/1992 00:00:00,,11/01/1993 00:00:00,11/19/1999 09:40:28,05/04/2002 08:57:59,"TANKS   "
212589,196,10/28/1992 00:00:00,,11/01/1993 00:00:00,11/19/1999 09:40:28,05/04/2002 08:57:59,"TANKS   "
212590,197,10/30/1992 00:00:00,10/30/1992 00:00:00,11/01/1993 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:00,"TANKS   "
212591,198,05/22/1992 00:00:00,06/10/1992 00:00:00,10/31/1993 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:00,"TANKS   "
212592,199,04/21/1992 00:00:00,,10/30/1993 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:00,"TANKS   "
212593,200,08/02/1993 00:00:00,,11/02/1994 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:00,"TANKS   "
212594,201,08/03/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:00,"TANKS   "
212595,202,08/02/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:01,"TANKS   "
212596,203,07/23/1992 00:00:00,,11/30/1993 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:01,"TANKS   "
212597,204,10/12/1992 00:00:00,,11/01/1993 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:01,"TANKS   "
212598,205,10/14/1992 00:00:00,,11/01/1993 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:01,"TANKS   "
212599,206,09/22/1992 00:00:00,10/14/1992 00:00:00,11/01/1993 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:01,"TANKS   "
212600,207,08/06/1994 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:02,"TANKS   "
212601,208,08/11/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:02,"TANKS   "
212602,209,08/16/1993 00:00:00,10/11/1993 00:00:00,11/01/1994 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:02,"TANKS   "
212603,210,02/11/1993 00:00:00,10/15/1992 00:00:00,11/01/1993 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:02,"TANKS   "
212604,211,08/13/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:02,"TANKS   "
212605,212,08/13/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:02,"TANKS   "
212606,213,08/17/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:03,"TANKS   "
212607,214,08/19/1993 00:00:00,,11/01/1995 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:03,"TANKS   "
212608,215,08/10/1993 00:00:00,,11/01/2002 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:03,"TANKS   "
212609,216,08/10/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:03,"TANKS   "
212610,217,08/20/1993 00:00:00,,11/01/1995 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:03,"TANKS   "
212611,218,06/05/1991 00:00:00,10/04/1993 00:00:00,11/01/1992 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:04,"TANKS   "
212612,219,08/25/1993 00:00:00,10/05/1993 00:00:00,11/01/1994 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:04,"TANKS   "
212613,220,08/01/1993 00:00:00,,11/01/1995 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:04,"TANKS   "
212614,221,09/07/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:28,05/12/2005 11:32:15,"NHENNEN "
212615,222,09/13/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:04,"TANKS   "
212616,223,09/13/1993 00:00:00,,11/01/1995 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:05,"TANKS   "
212617,224,09/16/1993 00:00:00,09/20/1993 00:00:00,10/31/1993 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:05,"TANKS   "
212618,225,09/21/1993 00:00:00,,11/01/1998 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:05,"TANKS   "
212619,226,09/23/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:05,"TANKS   "
212620,227,09/27/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:05,"TANKS   "
212621,228,09/27/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:06,"TANKS   "
212622,229,09/27/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:06,"TANKS   "
212623,230,09/27/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:06,"TANKS   "
212624,231,09/27/1993 00:00:00,,11/01/2002 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:06,"TANKS   "
212625,232,09/28/1993 00:00:00,,11/01/1995 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:06,"TANKS   "
212626,233,09/24/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:07,"TANKS   "
212628,234,09/30/1993 00:00:00,,10/31/1994 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:07,"TANKS   "
212629,235,10/21/1993 00:00:00,,11/01/1993 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:07,"TANKS   "
212630,236,10/08/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:07,"TANKS   "
212631,237,10/21/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:07,"TANKS   "
212632,238,10/21/1993 00:00:00,,11/01/1993 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:08,"TANKS   "
212633,239,10/22/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:08,"TANKS   "
212634,240,10/15/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:08,"TANKS   "
212635,241,10/13/1993 00:00:00,06/20/1995 00:00:00,11/01/1994 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:08,"TANKS   "
212636,242,10/14/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:08,"TANKS   "
212637,243,10/27/1993 00:00:00,,11/01/2002 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:09,"TANKS   "
212638,244,10/27/1993 00:00:00,,11/01/2002 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:09,"TANKS   "
212639,245,10/27/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:09,"TANKS   "
212640,246,10/26/1993 00:00:00,,11/01/1996 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:09,"TANKS   "
212641,247,01/01/1991 00:00:00,,11/01/1992 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:09,"TANKS   "
212642,248,10/29/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:10,"TANKS   "
212643,249,09/25/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:10,"TANKS   "
212644,250,10/12/1993 00:00:00,,11/01/1994 00:00:00,11/19/1999 09:40:28,05/04/2002 08:58:10,"TANKS   "
212646,251,09/13/1993 00:00:00,,11/01/2003 00:00:00,11/19/1999 09:40:28,11/21/2002 10:49:17,"AFURUSE "
