"Facility","Permit Number","Permit Type","Status","Permittee","Location","City","County","Issuance","Permit Id","Facility Id","Latitude","Longitude","Zip","Application To Nco","Activity","Site Id"
"BFI North Shelby Landfill Class III","DML790000122","CLASS III","Active","BFI WASTE SYSTEMS OF NORTH AMERICA LLC","7111 Old Millington Rd","Millington","Shelby","JUN-29-2009","648","DML790000122","35.332324","-89.949405","38053","-","-","8783"
"Buchanan Convenience Center","CCC750000574","CONVENIENCE","Active","Rutherford County SW Department","10810 Manchester Highway","Christiana","Rutherford","AUG-15-2016","5285","CCC750000574","35.70111","-86.298611","37037","AUG-05-2016","-","110595"
"Rockwood, LLC","DML750000128","CLASS III","Pending","Rockwood, LLC","5042 New Nashville Highway","Murfreesboro","Rutherford","-","5319","DML750000128","35.919139","-86.462031","-","AUG-22-2016","-","94098"
"Atomic Resource Recovery C&D Recycling Facility","SWP190001489","PROCESSING","Active","Atomic Resource Recovery, LLC","804 14th Avenue North and 806 16th Avenue North","Nashville","Davidson","JUL-11-2014","3148","SWP190001489","36.1642","-86.799","37203","-","Processing and recycling construction and demolition waste.","100651"
"Ezell Pike Convenience Center ","CCC190000566","CONVENIENCE","Active","Metropolitan Government of Nashville & Davidson County","3254 Ezell Pike","Nashville","Davidson","FEB-11-2015","3450","CCC190000566","36.0862","-86.6864","37211","FEB-11-2015","-","102341"
"J & A","TRF830001523","TRANSFER","Active","Jeremy Jones","3262-C Hwy 76","Cottontown","Sumner","-","4724","TRF830001523","36.5181","-86.5763","37048","MAY-04-2016","-","106739"
"SafePoint, LLC","TRF750001521","TRANSFER","Active","SafePoint, LLC","5947 New Nashville Hwy, Suite A","Murfreesboro","Rutherford","MAY-25-2016","4814","TRF750001521","35.9313","-86.4743","37129","MAR-23-2016","-","109564"
"Thomas Bros. Grass, LLC","CMP750000006","COMPOSTING","Pending","Thomas Bros.Grass, LLC","1007 Ballpark Avenue","Eagleville","Rutherford","-","4344","CMP750000006","35.716667","-86.633333","37060","DEC-04-2015","-","107685"
"MPG Rentals NCPTS","SWP630001526","PROCESSING","Active","MPG Rentals","1309 Tylertown Road","Clarksville","Montgomery","-","4853","SWP630001526","36.636337","-87.323335","37040","JUN-07-2016","-","8406"
"Sam's Creek Disposal","TRF110001524","TRANSFER","Active","Cheatham County Government","2791 Sams Creek Road","Pegram","Cheatham","AUG-15-2016","5284","TRF110001524","36.129907","-87.042243","-","MAY-10-2016","-","48001"
