"Reference ID","Box Number","Site Name","Street","City","County","Program","Latitude","Longitude","All Programs for Site","Covenant"
"14326","2012BAZ392","1109 COUNTY RD WEISER","1109 COUNTY RD","WEISER","Washington","General Remediation","44.24673","-116.98172","General Remediation",""
"9711","2011BAZ6527","123 AUTO DR BOISE","123 AUTO DR","BOISE","Ada","General Remediation","43.60385","-116.27625","General Remediation, RCRA Hazardous Waste Site, Underground Storage Tanks",""
"14398","2012BAZ458","12998 ORCHARD AVE NAMPA","12998 ORCHARD AVE","NAMPA","Canyon","General Remediation","43.59034","-116.65265","General Remediation",""
"2452","2011BAZ11","13650 N GOVT WAY","13650 N GOVT WAY","HAYDEN","Kootenai","General Remediation","47.79511","-116.7846","General Remediation, National Priorities List (NPL), RCRA Hazardous Waste Site, Underground Storage Tanks",""
"27453","2013BAZ192","1505 N MAIN ST MERIDIAN","1505 N MAIN ST","MERIDIAN","Ada","General Remediation","43.61735","-116.39183","General Remediation",""
"27603","2013BAZ41","1600 E MEADOW VIEW RD KUNA","1600 E MEADOW VIEW RD","KUNA","Ada","General Remediation","46.39639","-116.80432","General Remediation",""
"107654","2013BAZ414","1771 EAST 100 NORTH REXBURG","1771 EAST 100 NORTH","REXBURG","Madison","General Remediation","43.970427","-111.7182","General Remediation",""
"27468","2013BAZ177","2222 S KIMBALL AVE CALDWELL","2222 S KIMBALL AVE","CALDWELL","Canyon","General Remediation","43.649975","-116.698244","General Remediation",""
"14324","2012BAZ390","2909 ELDER ST BOISE","2909 ELDER ST","BOISE","Ada","General Remediation","43.57324","-116.21781","General Remediation",""
"14347","2012BAZ411","414 S 11TH ST BOISE","414 S 11TH ST","BOISE","Ada","General Remediation","43.6144","-116.20934","General Remediation",""
"7870","2011BAZ36","415 N 8TH ST","415 N 8TH ST","BOISE","Ada","General Remediation","43.6185","-116.20121","General Remediation, RCRA Hazardous Waste Site, Underground Storage Tanks",""
"28578","2013BAZ340","702 RANCH RD BOISE","702 RANCH RD","BOISE","Ada","General Remediation","43.6487","-116.1946","General Remediation",""
"107667","2013BAZ382","916 I ST RUPERT","916 I ST","RUPERT","Minidoka","General Remediation","42.62083","-113.67918","General Remediation",""
