"Reference ID","Box Number","Site Name","Street","City","County","Program","Latitude","Longitude","All Programs for Site","Covenant","RCRA Hazardous Waste Sites"
"5661","2011BAZ7032","1005 MCKINLEY AVE","1005 W MCKINLEY AVE","KELLOGG","Shoshone","RCRA Hazardous Waste Sites","47.538730","-116.138553","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"5661","2011BAZ7032","1005 MCKINLEY AVE","1005 W MCKINLEY AVE","KELLOGG","Shoshone","RCRA Hazardous Waste Sites","47.538730","-116.138553","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"9711","2011BAZ6527","123 AUTO DR BOISE","123 AUTO DR","BOISE","Ada","RCRA Hazardous Waste Sites","43.60385","-116.27625","General Remediation, RCRA Hazardous Waste Site, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
"2452","2011BAZ11","13650 N GOVT WAY","13650 N GOVT WAY","HAYDEN","Kootenai","RCRA Hazardous Waste Sites","47.79511","-116.7846","General Remediation, National Priorities List (NPL), RCRA Hazardous Waste Site, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
"14015","2012BAZ11","1 4 GROUP","2307 E COMMERCIAL ST","MERIDIAN","Ada","RCRA Hazardous Waste Sites","43.609","-116.366","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2356","2011BAZ13","17TH & STATE ST MARKETPLACE","NW CORNER OF 17TH & STATE ST","BOISE","Ada","RCRA Hazardous Waste Sites","43.624578","-116.211448","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2359","2011BAZ21","20TH CENTURY FORD INC","1090 FORDWAY","BLACKFOOT","Bingham","RCRA Hazardous Waste Sites","43.195779","-112.357736","RCRA Hazardous Waste Site, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
"2361","2011BAZ24","224 CANAL ST","224 CANAL ST","PIERCE","Clearwater","RCRA Hazardous Waste Sites","46.493389","-115.797711","RCRA Hazardous Waste Site, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
"2362","2011BAZ25","2840 S COLE RD","2840 S COLE RD","BOISE","Ada","RCRA Hazardous Waste Sites","43.577114","-116.273299","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2362","2011BAZ25","2840 S COLE RD","2840 S COLE RD","BOISE","Ada","RCRA Hazardous Waste Sites","43.577114","-116.273299","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"3279","2011BAZ1783","2A ARMAMENT LLC","7545 S EISENMAN RD","BOISE","Ada","RCRA Hazardous Waste Sites","43.533852","-116.160583","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"7862","2011BAZ30","3370 HWY 30 W","3370 HWY 30 W","POCATELLO","Bannock","RCRA Hazardous Waste Sites","42.89339","-112.4789","Leaking Underground Storage Tanks, RCRA Hazardous Waste Site, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
"7862","2011BAZ30","3370 HWY 30 W","3370 HWY 30 W","POCATELLO","Bannock","RCRA Hazardous Waste Sites","42.89339","-112.4789","Leaking Underground Storage Tanks, RCRA Hazardous Waste Site, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
"3273","2011BAZ1774","3403 ARTHUR STDENNIS DILLON TRUCK & USED CAR","3403 ARTHUR ST","CALDWELL","Canyon","RCRA Hazardous Waste Sites","43.647376","-116.65939","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2365","2011BAZ32","3650 RAMSEY RD","3650 RAMSEY RD","COEUR D ALENE","Kootenai","RCRA Hazardous Waste Sites","47.71095","-116.806643","RCRA Hazardous Waste Site, Solid Waste, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
"2365","2011BAZ32","3650 RAMSEY RD","3650 RAMSEY RD","COEUR D ALENE","Kootenai","RCRA Hazardous Waste Sites","47.71095","-116.806643","RCRA Hazardous Waste Site, Solid Waste, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
"2366","2011BAZ33","37TH ST COMMERCIAL UNITS","200-214 E 37TH ST","GARDEN CITY","Ada","RCRA Hazardous Waste Sites","43.627015","-116.239964","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"7870","2011BAZ36","415 N 8TH ST","415 N 8TH ST","BOISE","Ada","RCRA Hazardous Waste Sites","43.6185","-116.20121","General Remediation, RCRA Hazardous Waste Site, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
"7870","2011BAZ36","415 N 8TH ST","415 N 8TH ST","BOISE","Ada","RCRA Hazardous Waste Sites","43.6185","-116.20121","General Remediation, RCRA Hazardous Waste Site, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
"112746","2015BAZ23","4R CUSTOM WELDING & REPAIR","2626 OLD DUMP RD","HOMEDALE","Owyhee","RCRA Hazardous Waste Sites","43.612992","-116.963918","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2369","2011BAZ41","4-SQUARE MINE","FS RD 9","MURRAY","Shoshone","RCRA Hazardous Waste Sites","47.82","-115.94","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"7885","2011BAZ46","5TH ST AUTOMOTIVE REPAIR","3139 5TH ST","LEWISTON","Nez Perce","RCRA Hazardous Waste Sites","46.38786","-117.00651","RCRA Hazardous Waste Site, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
"2462","2011BAZ48","7-ELEVEN NO 22630","9577 N GOVT WAY","HAYDEN","Kootenai","RCRA Hazardous Waste Sites","47.75863","-116.78687","Leaking Underground Storage Tanks, RCRA Hazardous Waste Site, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
"2373","2011BAZ59","834 MCKINLEY AVE","834 MCKINLEY AVE","KELLOGG","Shoshone","RCRA Hazardous Waste Sites","47.537855","-116.134475","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2373","2011BAZ59","834 MCKINLEY AVE","834 MCKINLEY AVE","KELLOGG","Shoshone","RCRA Hazardous Waste Sites","47.537855","-116.134475","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2387","2011BAZ91","AAA-1 ENTERPRISES","512C E 46TH ST","GARDEN CITY","Ada","RCRA Hazardous Waste Sites","43.641456","-116.252683","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
