"Reference ID","Box Number","Site Name","Street","City","County","Program","Latitude","Longitude","All Programs for Site","Covenant","Underground Storage Tanks"
"112724","","","","","","Underground Storage Tanks","","","Underground Storage Tanks","","Underground Storage Tanks"
"111771","","","","","","Underground Storage Tanks","","","Underground Storage Tanks","","Underground Storage Tanks"
"112722","","","","","","Underground Storage Tanks","","","Underground Storage Tanks","","Underground Storage Tanks"
"112577","","","","","","Underground Storage Tanks","","","Underground Storage Tanks","","Underground Storage Tanks"
"112723","","","","","","Underground Storage Tanks","","","Underground Storage Tanks","","Underground Storage Tanks"
"112673","","","","","","Underground Storage Tanks","","","Underground Storage Tanks","","Underground Storage Tanks"
"186041","","","","","","Underground Storage Tanks","","","","","Underground Storage Tanks"
"125257","","","","","","Underground Storage Tanks","","","Underground Storage Tanks","","Underground Storage Tanks"
"112889","","","","","","Underground Storage Tanks","","","Underground Storage Tanks","","Underground Storage Tanks"
"7878","2011BAZ10","1021 OLD CROUCH RD","1021 OLD CROUCH RD","CROUCH","Boise","Underground Storage Tanks","44.11467","-115.96983","Leaking Underground Storage Tanks, Underground Storage Tanks","","Underground Storage Tanks"
"7878","2011BAZ10","1021 OLD CROUCH RD","1021 OLD CROUCH RD","CROUCH","Boise","Underground Storage Tanks","44.11467","-115.96983","Leaking Underground Storage Tanks, Underground Storage Tanks","","Underground Storage Tanks"
"7877","2011BAZ9","102 1ST ST","102 1ST ST","ELK RIVER","Clearwater","Underground Storage Tanks","46.78305","-116.17941","Leaking Underground Storage Tanks, Underground Storage Tanks","","Underground Storage Tanks"
"7877","2011BAZ9","102 1ST ST","102 1ST ST","ELK RIVER","Clearwater","Underground Storage Tanks","46.78305","-116.17941","Leaking Underground Storage Tanks, Underground Storage Tanks","","Underground Storage Tanks"
"9711","2011BAZ6527","123 AUTO DR BOISE","123 AUTO DR","BOISE","Ada","Underground Storage Tanks","43.60385","-116.27625","General Remediation, RCRA Hazardous Waste Site, Underground Storage Tanks","","Underground Storage Tanks"
"2452","2011BAZ11","13650 N GOVT WAY","13650 N GOVT WAY","HAYDEN","Kootenai","Underground Storage Tanks","47.79511","-116.7846","General Remediation, National Priorities List (NPL), RCRA Hazardous Waste Site, Underground Storage Tanks","","Underground Storage Tanks"
"2452","2011BAZ11","13650 N GOVT WAY","13650 N GOVT WAY","HAYDEN","Kootenai","Underground Storage Tanks","47.79511","-116.7846","General Remediation, National Priorities List (NPL), RCRA Hazardous Waste Site, Underground Storage Tanks","","Underground Storage Tanks"
"2453","2011BAZ12","13TH ST STINKER STATION NO 32","1620 N 13TH ST","BOISE","Ada","Underground Storage Tanks","43.63101","-116.20319","Leaking Underground Storage Tanks, Underground Storage Tanks","","Underground Storage Tanks"
"2454","2011BAZ14","17TH ST CAR WASH","930 E 17TH ST","IDAHO FALLS","Bonneville","Underground Storage Tanks","43.48189","-112.01521","Underground Storage Tanks","","Underground Storage Tanks"
"2455","2011BAZ15","17TH ST GAS & WASH","495 W 17TH ST","IDAHO FALLS","Bonneville","Underground Storage Tanks","43.48252","-112.04329","Underground Storage Tanks","","Underground Storage Tanks"
"2456","2011BAZ16","18TH ST DYNAMART","212 18TH ST","LEWISTON","Nez Perce","Underground Storage Tanks","46.41604","-117.00712","Leaking Underground Storage Tanks, Underground Storage Tanks","","Underground Storage Tanks"
"9929","2011BAZ17","1932 N GOVT WAY","1932 N GOVT WY","COEUR D ALENE","Kootenai","Underground Storage Tanks","47.69405","-116.78565","Underground Storage Tanks","","Underground Storage Tanks"
"9929","2011BAZ17","1932 N GOVT WAY","1932 N GOVT WY","COEUR D ALENE","Kootenai","Underground Storage Tanks","47.69405","-116.78565","Underground Storage Tanks","","Underground Storage Tanks"
"9930","2011BAZ19","200 S SUPERIOR ST","200 S SUPERIOR ST","CAMBRIDGE","Washington","Underground Storage Tanks","44.56979","-116.67794","Leaking Underground Storage Tanks, Underground Storage Tanks","","Underground Storage Tanks"
"9930","2011BAZ19","200 S SUPERIOR ST","200 S SUPERIOR ST","CAMBRIDGE","Washington","Underground Storage Tanks","44.56979","-116.67794","Leaking Underground Storage Tanks, Underground Storage Tanks","","Underground Storage Tanks"
"2359","2011BAZ21","20TH CENTURY FORD INC","1090 FORDWAY","BLACKFOOT","Bingham","Underground Storage Tanks","43.195779","-112.357736","RCRA Hazardous Waste Site, Underground Storage Tanks","","Underground Storage Tanks"
"2360","2011BAZ22","21 RANCH INC","7570 WAHA RS","LEWISTON","Nez Perce","Underground Storage Tanks","46.224351","-116.859446","Underground Storage Tanks","","Underground Storage Tanks"
"7880","2011BAZ23","21ST ST DYNAMART","1324 21ST ST","LEWISTON","Nez Perce","Underground Storage Tanks","46.40664","-117.0023","Underground Storage Tanks","","Underground Storage Tanks"
"2361","2011BAZ24","224 CANAL ST","224 CANAL ST","PIERCE","Clearwater","Underground Storage Tanks","46.493389","-115.797711","RCRA Hazardous Waste Site, Underground Storage Tanks","","Underground Storage Tanks"
"2361","2011BAZ24","224 CANAL ST","224 CANAL ST","PIERCE","Clearwater","Underground Storage Tanks","46.493389","-115.797711","RCRA Hazardous Waste Site, Underground Storage Tanks","","Underground Storage Tanks"
"7881","2011BAZ27","2ND ST DELI","509 2ND ST S","NAMPA","Canyon","Underground Storage Tanks","43.58279","-116.56809","Leaking Underground Storage Tanks, Underground Storage Tanks","","Underground Storage Tanks"
"125380","2015BAZ162","2ND STREET NURSERY","2315 2ND ST S","NAMPA","Canyon","Underground Storage Tanks","43.569618","-116.548818","Underground Storage Tanks","","Underground Storage Tanks"
"7866","2011BAZ26","2ND ST & SCOTT AVE","2ND ST & SCOTT AVE","RUPERT","Minidoka","Underground Storage Tanks","42.61285","-113.67752","Leaking Underground Storage Tanks, Underground Storage Tanks","","Underground Storage Tanks"
"7866","2011BAZ26","2ND ST & SCOTT AVE","2ND ST & SCOTT AVE","RUPERT","Minidoka","Underground Storage Tanks","42.61285","-113.67752","Leaking Underground Storage Tanks, Underground Storage Tanks","","Underground Storage Tanks"
"7862","2011BAZ30","3370 HWY 30 W","3370 HWY 30 W","POCATELLO","Bannock","Underground Storage Tanks","42.89339","-112.4789","Leaking Underground Storage Tanks, RCRA Hazardous Waste Site, Underground Storage Tanks","","Underground Storage Tanks"
"7882","2011BAZ6","340170 MERIDIAN ESS","816 MERIDIAN","MERIDIAN","Ada","Underground Storage Tanks","43.61148","-116.39345","Underground Storage Tanks","","Underground Storage Tanks"
